web-scraper-order,web-scraper-start-url,name,school,image-src,link,link-href
"1668780728-7692","https://www.edx.org/search?tab=course&subject=Social+Sciences","Leaders of Learning","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/9174e129-e6f3-4bc8-8a12-ea286d670e71-23e286087155.jpg","Leaders of Learning…Schools and Partners: HarvardX…Course","https://www.edx.org/course/leaders-of-learning?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=1"
"1668780728-7693","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Science of Happiness","BerkeleyX","https://prod-discovery.edx-cdn.org/media/course/image/73484215-4007-48cd-ba90-c945cde6030d-0277a3389713.jpg","The Science of Happiness…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/the-science-of-happiness-3?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=2"
"1668780728-7694","https://www.edx.org/search?tab=course&subject=Social+Sciences","Managing Happiness","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/56feae4a-7386-4499-8f1d-cf4b17c6cc87-ef014434d4ee.jpeg","Managing Happiness…Schools and Partners: HarvardX…Course","https://www.edx.org/course/managing-happiness?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=3"
"1668780728-7695","https://www.edx.org/search?tab=course&subject=Social+Sciences","Leadership: Creating
Public Value","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/0ecf7948-eba0-4787-a544-3d0e2197a151-563518624bc8.jpeg","Leadership: Creating
Public Value…Schools and Partners: HarvardX…Course","https://www.edx.org/course/creating-public-value?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=4"
"1668780728-7696","https://www.edx.org/search?tab=course&subject=Social+Sciences","Religion, Conflict and
Peace","HarvardX","https://prod-discovery.edx-cdn.org/media/course/image/47faf271-5dce-455e-8308-9bb903f1d697-2b3c718adf92.jpg","Religion, Conflict and
Peace…Schools and Partners: HarvardX…Course","https://www.edx.org/course/religion-conflict-and-peace?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=5"
"1668780728-7697","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introduction to Social
Psychology","UQx","https://prod-discovery.edx-cdn.org/media/course/image/0d0fdc23-4539-4b66-a4c7-0923281aad04-02b2db4dafd5.jpg","Introduction to Social
Psychology…Schools and Partners: UQx…Course","https://www.edx.org/course/introduction-to-social-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=6"
"1668780728-7698","https://www.edx.org/search?tab=course&subject=Social+Sciences","PredictionX: Omens,
Oracles & Prophecies","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","PredictionX: Omens,
Oracles & Prophecies…Schools and Partners: HarvardX…Course","https://www.edx.org/course/omens-oracles-prophecies?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=7"
"1668780728-7699","https://www.edx.org/search?tab=course&subject=Social+Sciences","u-lab: Leading From the
Emerging Future","MITx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","u-lab: Leading From the
Emerging Future…Schools and Partners: MITx…Course","https://www.edx.org/course/ulab-leading-from-the-emerging-future?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=8"
"1668780728-7700","https://www.edx.org/search?tab=course&subject=Social+Sciences","Introduction to Clinical
Psychology","UQx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Introduction to Clinical
Psychology…Schools and Partners: UQx…Course","https://www.edx.org/course/introduction-to-clinical-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=9"
"1668780728-7701","https://www.edx.org/search?tab=course&subject=Social+Sciences","Child Protection:
Children's Rights in Theory and Practice","HarvardX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Child Protection:
Children's Rights in Theory and Practice…Schools and Partners: HarvardX…Course","https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=10"
"1668780728-7702","https://www.edx.org/search?tab=course&subject=Social+Sciences","From Poverty to
Prosperity: Understanding Economi…","OxfordX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","From Poverty to
Prosperity: Understanding Economi……Schools and Partners: OxfordX…Course","https://www.edx.org/course/from-poverty-to-prosperity-understanding-economic?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=11"
"1668780728-7703","https://www.edx.org/search?tab=course&subject=Social+Sciences","The Foundations of
Happiness at Work","BerkeleyX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","The Foundations of
Happiness at Work…Schools and Partners: BerkeleyX…Course","https://www.edx.org/course/the-foundations-of-happiness-at-work?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=12"
"1668780728-7704","https://www.edx.org/search?tab=course&subject=Social+Sciences","Operations Management","IIMBx","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Operations Management…Schools and Partners: IIMBx…Course","https://www.edx.org/course/operations-management?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=13"
"1668780728-7705","https://www.edx.org/search?tab=course&subject=Social+Sciences","Coaching Skills for
Learner-Centred Conversations","ImperialX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Coaching Skills for
Learner-Centred Conversations…Schools and Partners: ImperialX…Course","https://www.edx.org/course/coaching-skills-for-educators?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=14"
"1668780728-7706","https://www.edx.org/search?tab=course&subject=Social+Sciences","Fundamentals of
Psychology","DoaneX","/static/default-card-header-dark-dcbaadee952586d8df3e9d58dd4e48a7.png","Fundamentals of
Psychology…Schools and Partners: DoaneX…Course","https://www.edx.org/course/fundamentals-of-psychology?index=product_value_experiment_a&queryID=632ba53bab5b53550cc44c3126ffdb2d&position=15"
