web-scraper-order,web-scraper-start-url,name,description,image-src,link,link-href,rating,review-count
"1668875186-46455","https://www.udacity.com/courses/all?field=career","Product Manager Interview Preparation","Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/ud034-catalog-image.jpg","freeProduct Manager Interview PreparationAce your product management interview by understanding how to answer key strategic, technical, and practical product questions.Skills CoveredProduct Management, Interview Preparation, Career Advancement, Product Strategy, Technical InterviewView more +Program Detailsbeginner1 WeekProgram Details","https://www.udacity.com/course/product-manager-interview-preparation--ud034","null","null"
"1668875186-46456","https://www.udacity.com/courses/all?field=career","Craft Your Cover Letter","Write a compelling narrative that showcases your value to the company.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud244.jpg","freeCraft Your Cover LetterWrite a compelling narrative that showcases your value to the company.Skills CoveredCreating a narrative, Targeting your pitch, Communicating value, Career AdvancementView more +Program Detailsbeginner1 DayProgram Details","https://www.udacity.com/course/craft-your-cover-letter--ud244","null","null"
"1668875186-46457","https://www.udacity.com/courses/all?field=career","Refresh Your Resume","Create a targeted resume that gets the attention of recruiters and lands you an interview in tech.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud243.jpg","freeRefresh Your ResumeCreate a targeted resume that gets the attention of recruiters and lands you an interview in tech.Skills CoveredResume writing, Company targeting, Storytelling, Career AdvancementView more +Program Detailsbeginner2 DaysIn collaboration with:Grow With GoogleProgram DetailsIn collaboration with:Grow With Google","https://www.udacity.com/course/refresh-your-resume--ud243","null","null"
"1668875186-46458","https://www.udacity.com/courses/all?field=career","Strengthen Your LinkedIn Network & Brand","Learn how to excel at networking both in-person and on LinkedIn.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud242.jpg","freeStrengthen Your LinkedIn Network & BrandLearn how to excel at networking both in-person and on LinkedIn.Skills CoveredPersonal branding, LinkedIn, Networking, Career AdvancementView more +Program Detailsbeginner1 WeekIn collaboration with:Grow With GoogleProgram DetailsIn collaboration with:Grow With Google","https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242","null","null"
"1668875186-46459","https://www.udacity.com/courses/all?field=career","Data Science Interview Prep","Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud944.jpg","freeData Science Interview PrepPrepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.Skills CoveredInterview practice, Common Data Questions, Data Structures, Career AdvancementView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/data-science-interview-prep--ud944","null","null"
"1668875186-46460","https://www.udacity.com/courses/all?field=career","Android Interview Prep","Learn how to respond to common Android and mobile development interview questions.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud241.jpg","freeAndroid Interview PrepLearn how to respond to common Android and mobile development interview questions.Skills CoveredInterview practice, Common Android Questions, WhiteboardingView more +Program Detailsintermediate1 WeekIn collaboration with:Grow With GoogleProgram DetailsIn collaboration with:Grow With Google","https://www.udacity.com/course/android-interview-prep--ud241","null","null"
"1668875186-46461","https://www.udacity.com/courses/all?field=career","Machine Learning Interview Preparation","In this course, you’ll learn exactly what to expect during a machine learning interview.","https://d20vrrgs8k4bvw.cloudfront.net/images/courses/thumbnails/ud1001_catalog.png","freeMachine Learning Interview PreparationIn this course, you’ll learn exactly what to expect during a machine learning interview.Skills CoveredInterview practice, Machine Learning, Career AdvancementView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/machine-learning-interview-prep--ud1001","null","null"
"1668875186-46462","https://www.udacity.com/courses/all?field=career","Front-End Interview Prep","Answer front-end technical and behavioral interview questions with confidence and poise.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud250.jpg","freeFront-End Interview PrepAnswer front-end technical and behavioral interview questions with confidence and poise.Skills CoveredInterview questions, Common FE Questions, Whiteboarding, Career AdvancementView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/front-end-interview-prep--ud250","null","null"
"1668875186-46463","https://www.udacity.com/courses/all?field=career","Full-Stack Interview Prep","Answer common full stack and web security interview questions with confidence and poise.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud252.jpg","freeFull-Stack Interview PrepAnswer common full stack and web security interview questions with confidence and poise.Skills CoveredInterview practice, Common FS Questions, Whiteboarding, Career AdvancementView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/full-stack-interview-prep--ud252","null","null"
"1668875186-46464","https://www.udacity.com/courses/all?field=career","Data Structures & Algorithms in Swift","Review and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud1011.jpg","freeData Structures & Algorithms in SwiftReview and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.Skills CoveredInterview practice, Swift, Data structures, Career AdvancementView more +Program Detailsintermediate4 WeeksProgram Details","https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011","null","null"
"1668875186-46465","https://www.udacity.com/courses/all?field=career","iOS Interview Prep","Answer iOS and mobile development interview questions with confidence and poise.","https://d20vrrgs8k4bvw.cloudfront.net/images/course-catalog/en-us/catalog-img-ud240.jpg","freeiOS Interview PrepAnswer iOS and mobile development interview questions with confidence and poise.Skills CoveredInterview practice, Common iOS Questions, Whiteboarding, Career AdvancementView more +Program Detailsintermediate1 WeekProgram Details","https://www.udacity.com/course/ios-interview-prep--ud240","null","null"
